ids,bday,enrolldate,expgradate,Rank,Major,Gender,Athlete,Height,Weight,Smoking,Sprint,MileMinDur,English,Reading,Math,Writing,State,LiveOnCampus,HowCommute,CommuteTime,SleepTime,StudyTime
43783,3/22/1995, , , , ,0,0,72.35, ,0,7.978, ,88.24,81.5,60.02,81.44,In state,1, , ,7,1
20278,1/1/1995, , , ,Philosophy,0,0,70.66,179.2,0,8.004,0:06:21,89.45,85.25,70.19,73.27, ,1, , ,5,2
20389,12/31/1994, , , , ,0,0,70.68,198.52,0, ,0:07:00,96.73,86.88,71.2,84.24,In state, , , ,8,7
22820,12/1/1994, , , ,business administration,1,0, ,198.34, ,8.473,0:12:44,74.06,88.68,55.89,73.16,In state,1, , ,2,6
24559,11/10/1994, , , , ,1,1,67.43,128.17,2, ,0:06:25,82.61,77.3,65.52,80.45,Out of state,1, , ,7,3
28980,9/17/1994, , , ,astrophysics,0,1,68.45,171.61,0,4.65,0:07:24,70.1, ,61.4,77.48,In state,1, , ,8,3
33312,7/27/1994, , , ,Anthropology,0,1,68.56,163.96,0,4.75,0:05:47,78.98,87.53,76.71,70.79,In state,1, , ,9,9
40274,5/3/1994, , , ,American History,0,1,71.91,222.87,0, ,0:05:40, ,67.31,58.64,65.89,In state,0, , ,8,3
40390,4/30/1994, , , ,Africana studies,1,1,68.84,154.7,0,6.279,0:06:51,75.65,76.54,51.14,75.94,In state,0,3,26, ,3
28942,9/17/1993, , , , ,1,1,66.69,180.57,0,6.076,0:06:37,68.27,93.88,55.2,78.18,Out of state, ,1,13,2,15
29045,9/17/1993, , , ,French,0,0,70.12,164.59,0,8.498,0:09:22,86,91.34,64.41,71.02,Out of state,0,3,20,1,6
35676,6/27/1993, , , ,history,1,1,66.91,177.89, , ,0:06:36,79.94,76.74,62.53,84.78,In state,1, , ,4,0
38764,5/22/1993, , , , ,0,1,65.21,139.95,0,4.661,0:06:17,101.95,74.45,66.8,88.5,In state,0,3,29,4,2
39796,5/8/1993, , , , ,1,0,72.35,230.27,2,7.312,0:09:05,88.97,86.53,52.48,81.21,Out of state,0,3,38,4,2
41092,4/23/1993, , , ,"engineering, undecided",0,0,67.12,261.92,0,7.113,0:10:26,91.79,84.44,66.76,88.03,In state,1, , ,4,11
43344,3/26/1993, , , ,Fine Arts (Painting),0,0, ,132.69,1,7.443,0:08:19,70.42,85.29,57.95,79.22,In state,1, , ,9, 
49688,1/8/1993, , , ,education,0,0,79, ,0, ,0:06:46,97.23, ,67.72,84.35,In state,1, , ,13, 
37701,6/2/1992, , , , ,1,1,63.12, ,2,6.499,0:06:53,85.71,78.06,66.83,82.99,In state,1, , ,6,1
44116,3/16/1992, , , ,Exorcise Science,1,0,69.25,183.68, , ,0:08:14,82.99,74.41,61.4,81.12,In state,1, , ,5,15
25871,10/26/1991, , , ,saxophone,0,1, ,148.82,0,4.524,0:06:11,83.95,74.02,74.92,64.06,In state,0,3,27,4, 
26154,10/22/1991, , , ,mathematics,1,0,58.8,128.73,0,6.737,0:08:17,74.88,79.61,51.3,79.64,In state,0,1,21,2,7
41291,4/21/1991, , , , ,0,1,71.67,205.62,0,4.89,0:06:34,84.67,79.64,60.85,76.77,Out of state,0,3,24,9,6
46752,2/13/1991, , , ,Education Administration,1,0,61.94,179.64,2,7.013,0:08:29,99.51,95.81,68.91,84.19,In state,1, , ,3,9
